Predicted,Actual
0.57061015625,0.0
0.0470085384615388,0.0
0.7884161063829788,1.0
0.5002976428571431,0.333333
0.2318948125,0.0
0.09482758620689655,0.777778
0.407407404761907,0.0
0.13775507142857493,0.0
0.2569572516129033,0.0
0.6083334285714285,0.25
0.2569572516129033,0.0
0.2569572516129033,0.0
0.5005065531914891,0.6
0.6312410764119606,0.428571
0.09482758620689655,1.0
0.6312410764119606,0.5
0.05947268813559323,0.666667
0.907291625,0.333333
0.10554082560296846,0.333333
0.05947268813559323,0.0
0.407407404761907,1.0
0.788120585106383,1.0
0.7507086309523808,0.0
0.5005065531914891,0.222222
0.09777775000000001,0.333333
0.05947268813559323,0.0
0.09482758620689655,0.0
0.6312410764119606,0.833333
0.023809514285714286,0.0
0.9537333360000002,1.0
0.003950617777777793,0.0
0.9537333360000002,1.0
0.047619000000000015,0.166667
0.05947268813559323,0.0
0.09777775000000001,0.5
0.09482758620689655,1.0
0.10554082560296846,0.0
0.10554082560296846,0.0
0.0470085384615388,0.0
0.5555556666666649,0.5
0.10554082560296846,0.444444
0.7884161063829788,1.0
0.0,0.0
0.2569572516129033,0.0
0.6312410764119606,0.833333
0.2569572516129033,0.0
0.2569572516129033,0.833333
0.2569572516129033,1.0
0.2569572516129033,0.0
0.003950617777777793,0.888889
0.7507086309523808,1.0
0.0470085384615388,0.0
0.725,0.0
0.2569572516129033,1.0
0.2451544736842106,0.333333
0.3865482711864407,0.222222
1.0,1.0
0.9537333360000002,1.0
0.6312410764119606,0.333333
0.0470085384615388,0.0
0.3865482711864407,0.666667
0.57061015625,0.0
0.09482758620689655,0.666667
0.788120585106383,1.0
0.10554082560296846,0.0
0.9537333360000002,1.0
0.7507086309523808,0.666667
0.10554082560296846,0.0
0.5976594576271186,1.0
0.05947268813559323,0.333333
0.3076923076923077,0.5
0.18961638888888893,1.0
0.10554082560296846,0.0
0.24642858333333337,0.0
0.003950617777777793,0.5
0.6312410764119606,0.833333
0.4507143,0.0
0.907291625,0.25
0.4503701744966435,0.666667
0.2569572516129033,0.0
0.05947268813559323,1.0
0.5005065531914891,0.285714
0.2569572516129033,0.666667
0.05947268813559323,0.0
0.10554082560296846,0.0
0.0470085384615388,0.0
0.05947268813559323,0.0
0.09482758620689655,0.0
0.10554082560296846,1.0
0.407407404761907,0.833333
0.57061015625,0.0
0.18961638888888893,0.0
0.24642858333333337,0.333333
0.05947268813559323,0.0
0.4503701744966435,0.0
0.788120585106383,0.5
0.36843040740740746,0.571429
0.6312410764119606,0.428571
0.9537333360000002,1.0
0.3047947500000001,0.0
0.7884161063829788,1.0
0.05947268813559323,0.0
0.6312410764119606,0.833333
0.003950617777777793,0.0
0.4503701744966435,0.666667
0.09482758620689655,0.0
0.0470085384615388,0.0
0.05947268813559323,0.0
0.5002976428571431,0.0
0.10554082560296846,0.777778
0.6863711379310344,0.666667
0.3047947500000001,0.0
0.5976594576271186,0.833333
0.09482758620689655,0.0
0.05947268813559323,0.0
0.3076923076923077,0.0
0.3076923076923077,0.6
0.125,0.0
0.18961638888888893,0.0
